name,image_id,confidence,xmin,ymin,xmax,ymax
cylinder,124,0.9123415946960449,540,826,596,890
circle cage,124,0.9726248979568481,286,702,372,760
ball,125,0.9841041564941406,262,1315,298,1387
square cage,125,0.31127917766571045,396,1425,467,1488
metal bucket,125,0.6511005163192749,396,1425,467,1488
cylinder,126,0.9272621870040894,286,724,332,761
cube,127,0.9958917498588562,211,843,255,885
ball,128,0.9839867353439331,252,1129,289,1198
tyre,128,0.9891271591186523,301,1238,361,1323
tyre,128,0.11371242254972458,302,1345,385,1414
metal bucket,128,0.9418184757232666,301,1347,386,1414
cube,129,0.9944132566452026,399,1332,501,1409
ball,129,0.9922170639038086,426,990,486,1076
ball,13,0.3510685861110687,292,1016,341,1095
ball,13,0.21294163167476654,243,916,303,960
ball,13,0.1696067452430725,264,912,309,947
ball,13,0.0629483088850975,274,903,311,938
ball,13,0.058299969881772995,266,920,315,960
human body,13,0.050208039581775665,292,1016,341,1095
tyre,13,0.4840375781059265,292,1016,341,1095
circle cage,13,0.9620380401611328,303,723,346,763
ball,130,0.9524282217025757,347,984,398,1037
tyre,130,0.9840188026428223,111,974,171,1045
circle cage,130,0.9798612594604492,269,731,311,778
ball,131,0.9812263250350952,251,1126,287,1199
tyre,131,0.9893938899040222,296,1232,360,1322
tyre,131,0.18488483130931854,289,1344,368,1424
metal bucket,131,0.9123114347457886,289,1350,368,1424
cube,132,0.9829632639884949,412,1120,494,1209
ball,132,0.663861870765686,428,817,492,887
ball,133,0.7697722315788269,656,1042,712,1092
circle cage,133,0.9818333387374878,381,760,422,807
circle cage,133,0.13992172479629517,656,1043,711,1092
ball,134,0.9827157855033875,255,1280,290,1354
square cage,134,0.9863640666007996,197,1416,254,1480
ball,136,0.9479545950889587,168,1280,206,1355
ball,136,0.06879126280546188,159,1320,202,1372
square cage,136,0.05868567153811455,158,1320,200,1373
circle cage,136,0.9519270658493042,177,1495,241,1569
cube,137,0.9772774577140808,173,1090,263,1149
ball,137,0.9814634323120117,523,788,588,871
ball,138,0.9863821864128113,480,914,528,963
tyre,138,0.13252951204776764,542,633,580,692
square cage,138,0.9509992599487305,383,1025,466,1070
cube,139,0.9959024786949158,211,842,253,885
cube,14,0.9950060844421387,216,840,259,882
cube,140,0.9945017695426941,89,1355,130,1423
ball,140,0.9904406070709229,194,1057,235,1146
cube,141,0.9914369583129883,201,787,239,826
ball,142,0.9504391551017761,291,906,335,951
tyre,142,0.9928997755050659,571,925,629,988
circle cage,142,0.7915541529655457,247,745,290,791
circle cage,142,0.6907429099082947,242,770,291,806
circle cage,142,0.057586073875427246,241,733,296,805
ball,143,0.980411171913147,169,1319,209,1392
human body,143,0.9939529895782471,281,1164,367,1260
ball,144,0.9831825494766235,358,1062,407,1114
human body,144,0.9630288481712341,422,907,462,1000
circle cage,144,0.9863995313644409,507,1282,608,1342
ball,145,0.9909226298332214,223,672,264,745
tyre,145,0.9968182444572449,241,813,291,904
square cage,145,0.9908134341239929,159,803,229,885
cube,146,0.2836213707923889,258,1054,353,1122
ball,146,0.9926971197128296,492,690,556,774
cube,147,0.1672048568725586,448,645,485,682
cube,147,0.05723477900028229,250,754,331,806
cylinder,147,0.7620139122009277,450,646,484,681
circle cage,147,0.8942205905914307,250,754,331,806
ball,148,0.9878902435302734,163,1264,204,1331
human body,148,0.8517656326293945,190,1075,224,1187
circle cage,148,0.9447991251945496,224,1507,288,1582
ball,149,0.07823790609836578,133,1064,166,1129
cylinder,149,0.9931756854057312,82,1181,105,1267
cube,15,0.9977704286575317,163,1309,217,1382
ball,15,0.9351674914360046,294,875,325,959
ball,150,0.9822036623954773,482,929,530,982
square cage,150,0.980711817741394,390,1035,468,1087
cube,151,0.9961150884628296,255,816,300,854
cube,152,0.12091716378927231,464,887,536,960
cube,152,0.05326392501592636,279,1147,370,1208
ball,152,0.8731185793876648,464,887,535,960
ball,153,0.991045355796814,185,1287,220,1353
human body,153,0.9561313390731812,217,1092,249,1223
tyre,153,0.06314219534397125,284,1528,347,1605
circle cage,153,0.9128923416137695,284,1529,347,1605
ball,155,0.9927641153335571,224,683,266,750
tyre,155,0.9943048357963562,328,792,386,884
square cage,155,0.990902304649353,158,816,226,893
cube,156,0.9873210787773132,280,996,374,1064
ball,156,0.17716625332832336,432,646,483,707
ball,156,0.05857246369123459,430,658,485,741
ball,157,0.9757696986198425,393,1145,448,1202
human body,157,0.9855614900588989,684,1092,836,1152
circle cage,157,0.5797076225280762,699,1270,795,1345
metal bucket,157,0.055506929755210876,697,1269,793,1343
ball,158,0.9852115511894226,260,1268,296,1340
square cage,158,0.9874088168144226,200,1399,256,1466
cube,159,0.986609160900116,223,841,265,880
cube,16,0.16659599542617798,364,988,434,1032
ball,16,0.9363858699798584,298,871,343,919
ball,16,0.4267825484275818,364,988,434,1032
tyre,16,0.3650702238082886,364,988,434,1032
circle cage,16,0.9237374663352966,243,752,288,799
ball,160,0.9869758486747742,233,1298,267,1370
tyre,160,0.9948284029960632,285,1438,344,1531
square cage,160,0.9647662043571472,164,1428,228,1505
ball,161,0.9889261722564697,231,1282,266,1357
tyre,161,0.9914900064468384,430,1366,474,1463
square cage,161,0.9608067274093628,159,1428,227,1512
cube,162,0.988518238067627,168,847,212,892
ball,163,0.9871184825897217,175,1281,212,1354
human body,163,0.9692416191101074,208,1090,240,1183
circle cage,163,0.9624559879302979,188,1511,255,1585
cube,164,0.9961971044540405,217,806,261,848
cube,165,0.17959746718406677,930,791,1006,827
ball,165,0.053057603538036346,925,725,1015,825
cylinder,165,0.904603123664856,293,785,350,822
cylinder,165,0.09904493391513824,930,791,1006,827
circle cage,165,0.9393608570098877,288,706,378,761
cube,166,0.9964300990104675,330,1119,436,1192
ball,167,0.9854551553726196,249,1443,283,1508
tyre,167,0.9553191065788269,316,1560,370,1643
tyre,167,0.06487976014614105,330,1600,378,1672
metal bucket,167,0.9720476865768433,268,1658,357,1736
cube,168,0.9888571500778198,248,1041,343,1096
ball,168,0.8287979960441589,562,721,621,789
ball,169,0.9904298782348633,261,760,301,819
tyre,169,0.9938904047012329,295,879,369,962
cube,17,0.9941005706787109,177,1055,273,1127
ball,17,0.9817421436309814,477,763,537,843
cylinder,170,0.8794373869895935,508,822,567,882
circle cage,170,0.9806765913963318,283,703,370,760
cube,171,0.8712818026542664,196,1451,249,1514
ball,171,0.5090650916099548,401,1274,439,1339
tyre,171,0.4997703433036804,399,1273,440,1340
tyre,171,0.07772289216518402,345,991,372,1073
square cage,171,0.09459443390369415,196,1452,249,1514
ball,172,0.9819247722625732,511,904,561,955
square cage,172,0.977686882019043,422,1039,506,1078
cube,174,0.9964970350265503,414,802,521,872
ball,174,0.9908770322799683,548,422,611,499
ball,175,0.9871985912322998,219,1290,254,1366
tyre,175,0.994853675365448,297,1401,354,1500
square cage,175,0.9669749140739441,151,1417,216,1500
ball,176,0.9848238229751587,160,1306,201,1381
human body,176,0.9938173294067383,279,1162,372,1260
ball,177,0.983098030090332,371,1131,425,1185
human body,177,0.9864830374717712,631,1091,780,1167
circle cage,177,0.7621926069259644,339,1320,416,1366
circle cage,177,0.5247529149055481,346,1325,433,1391
circle cage,177,0.07357612252235413,363,1331,423,1378
circle cage,177,0.07237450033426285,325,1297,430,1374
circle cage,177,0.06998375803232193,324,1318,426,1416
ball,178,0.9891533851623535,177,1305,214,1375
square cage,178,0.895067572593689,114,1439,174,1523
metal bucket,178,0.061691757291555405,114,1438,173,1520
cube,179,0.9936089515686035,408,756,502,829
ball,179,0.9529080390930176,535,315,599,417
ball,18,0.989338755607605,226,1294,261,1365
tyre,18,0.9711441993713379,439,1359,481,1450
square cage,18,0.9272983074188232,155,1427,220,1511
human body,180,0.12518921494483948,175,518,221,623
cylinder,181,0.8997003436088562,337,1464,390,1537
ball,182,0.988547682762146,501,1124,552,1179
tyre,182,0.9854650497436523,689,870,732,944
square cage,182,0.9694610834121704,372,1223,448,1280
ball,183,0.9879018664360046,489,910,538,959
square cage,183,0.9867312908172607,396,1015,483,1063
cube,184,0.07906397432088852,509,680,546,719
ball,184,0.8095691204071045,332,736,387,782
cylinder,184,0.7893472909927368,509,680,546,720
tyre,184,0.17137114703655243,331,736,387,782
circle cage,184,0.9817894697189331,229,735,302,787
ball,185,0.988908052444458,216,1297,252,1368
tyre,185,0.980575442314148,403,1387,455,1485
square cage,185,0.9316786527633667,148,1426,208,1506
ball,186,0.7816414833068848,238,870,286,916
ball,186,0.17072582244873047,228,882,283,930
tyre,186,0.9497715830802917,314,978,384,1035
circle cage,186,0.4727756977081299,187,758,228,797
circle cage,186,0.050768762826919556,185,727,237,797
ball,187,0.9905292987823486,158,1283,201,1359
human body,187,0.9939873218536377,265,1159,353,1247
ball,188,0.988357424736023,220,1294,256,1364
tyre,188,0.9943335056304932,298,1462,358,1563
square cage,188,0.982489824295044,157,1422,221,1503
cube,189,0.9960098266601562,215,804,260,845
cube,19,0.9946597814559937,231,807,276,850
ball,190,0.8350365161895752,815,1091,865,1141
tyre,190,0.9855964183807373,653,830,699,907
tyre,190,0.06756875663995743,814,1091,866,1141
tyre,190,0.062370263040065765,653,863,693,906
square cage,190,0.9845148921012878,391,1215,476,1263
cylinder,191,0.9449259042739868,269,742,328,778
cube,116,0.9911129474639893,216,822,259,857
cube,135,0.9942700266838074,215,841,257,881
cylinder,154,0.9875025153160095,107,1278,135,1360
cube,173,0.993592381477356,189,846,231,884
ball,192,0.9832056760787964,361,1058,405,1108
human body,192,0.9849567413330078,407,894,449,1001
circle cage,192,0.9868828654289246,437,1265,535,1324
ball,210,0.9865225553512573,496,929,545,978
square cage,210,0.9736475348472595,415,1037,509,1078
ball,23,0.989403247833252,498,933,551,984
square cage,23,0.9607259035110474,413,1046,502,1085
ball,249,0.9845503568649292,173,1288,209,1360
human body,249,0.991524338722229,277,1258,370,1348
circle cage,249,0.969469428062439,48,1465,115,1540
ball,268,0.30537092685699463,182,481,217,569
human body,268,0.3039751648902893,181,480,218,571
ball,287,0.990329921245575,237,1304,273,1373
tyre,287,0.9961467981338501,285,1468,342,1567
square cage,287,0.9075427055358887,174,1433,235,1519
metal bucket,287,0.05060964077711105,173,1436,235,1522
ball,305,0.9780589938163757,589,1011,640,1059
circle cage,305,0.9608446359634399,326,753,365,798
cylinder,324,0.9563626646995544,415,755,469,793
cube,343,0.9947538375854492,193,845,236,888
ball,362,0.9803751707077026,355,964,406,1015
circle cage,362,0.9695247411727905,299,741,340,789
cube,381,0.992574155330658,422,764,511,830
ball,381,0.9389060735702515,563,328,627,417
ball,40,0.42859774827957153,277,916,315,959
ball,40,0.37834250926971436,280,899,317,939
ball,40,0.20636460185050964,278,1026,332,1104
ball,40,0.16459599137306213,289,910,321,941
human body,40,0.17386780679225922,278,1026,334,1105
tyre,40,0.5594169497489929,278,1026,332,1104
circle cage,40,0.9683365225791931,302,728,341,773
human body,419,0.9173462390899658,185,518,229,615
ball,438,0.9850334525108337,511,909,561,961
square cage,438,0.9780122637748718,421,1041,509,1082
ball,457,0.9794842004776001,393,1150,452,1207
human body,457,0.9837617874145508,714,1085,856,1148
ball,193,0.09658390283584595,209,478,245,531
ball,193,0.05346330627799034,181,794,225,909
human body,193,0.775324821472168,194,469,246,619
human body,193,0.3619358539581299,209,478,245,531
cylinder,194,0.8942326307296753,649,756,706,797
cube,195,0.9958624243736267,158,1209,250,1284
ball,195,0.10022570192813873,418,858,466,935
cube,196,0.9944337606430054,160,849,206,893
cube,197,0.9953950643539429,407,756,493,826
ball,197,0.9778267741203308,500,350,566,434
cylinder,198,0.8046457767486572,683,800,733,866
cube,199,0.9955860376358032,260,833,298,873
cylinder,2,0.8980162143707275,402,768,454,828
cube,20,0.9968506097793579,413,1145,507,1227
cylinder,201,0.8974392414093018,538,800,591,858
cylinder,201,0.09219960868358612,544,799,595,833
circle cage,201,0.9822575449943542,295,712,389,770
ball,202,0.9825817942619324,267,1320,302,1396
tyre,202,0.3268275260925293,281,1490,323,1573
square cage,202,0.6462180614471436,281,1491,323,1563
metal bucket,202,0.06721361726522446,281,1490,323,1570
cube,203,0.06244569644331932,620,1401,693,1473
ball,203,0.9919520616531372,474,1037,536,1130
ball,203,0.0590863972902298,487,887,537,953
cylinder,204,0.21176040172576904,186,499,224,587
human body,204,0.592206597328186,186,499,225,587
ball,205,0.9874281883239746,500,682,558,768
cylinder,206,0.936081051826477,386,806,433,845
human body,207,0.9811515212059021,536,463,629,547
ball,208,0.9496991634368896,305,875,350,922
ball,208,0.05219511315226555,355,968,413,1039
tyre,208,0.9737192988395691,355,968,413,1039
circle cage,208,0.979667067527771,269,736,311,780
cube,209,0.32282555103302,217,575,256,639
square cage,209,0.7252146601676941,217,577,256,639
cube,21,0.9913792610168457,455,1475,549,1570
ball,21,0.19213420152664185,517,939,581,1045
ball,211,0.9775645732879639,154,1295,200,1371
human body,211,0.9910933971405029,267,1165,351,1251
ball,212,0.9892606735229492,172,1282,209,1349
human body,212,0.9679040908813477,203,1100,237,1227
tyre,212,0.24650608003139496,249,1523,316,1599
circle cage,212,0.8702911138534546,248,1523,316,1599
cube,213,0.9963487386703491,244,806,290,847
ball,214,0.969573438167572,357,1114,411,1167
human body,214,0.9793046712875366,519,1044,654,1123
circle cage,214,0.983482301235199,157,1218,241,1280
ball,215,0.9835649728775024,174,1307,212,1375
square cage,215,0.8390469551086426,112,1440,169,1532
metal bucket,215,0.06559646129608154,113,1440,169,1531
ball,216,0.9888272285461426,179,1276,216,1342
ball,216,0.050297774374485016,206,1107,234,1173
human body,216,0.7816804647445679,204,1105,235,1216
human body,216,0.08648641407489777,206,1093,233,1170
circle cage,216,0.951481819152832,212,1519,277,1589
cube,217,0.5536786913871765,445,636,480,672
cube,217,0.2593315839767456,261,756,347,808
cylinder,217,0.4591867923736572,446,637,479,672
circle cage,217,0.672484278678894,261,756,348,808
cylinder,218,0.9653604030609131,242,823,298,877
ball,219,0.9878103733062744,493,938,544,988
square cage,219,0.970942497253418,406,1050,491,1090
cube,22,0.7237716913223267,220,1072,319,1140
ball,22,0.9888705611228943,531,779,599,858
cube,220,0.9961990118026733,215,840,259,882
cube,221,0.9935110807418823,191,845,235,887
cube,222,0.993137776851654,219,840,259,882
cube,223,0.9938802719116211,222,842,266,884
ball,224,0.0857200026512146,180,487,210,566
cylinder,224,0.5532201528549194,181,487,210,565
human body,224,0.2727409601211548,180,486,210,566
cube,225,0.9939661026000977,240,812,278,848
human body,226,0.9163519740104675,158,573,232,681
ball,227,0.9637548923492432,348,589,407,640
human body,227,0.9857487082481384,475,462,559,519
cube,228,0.9929656982421875,294,886,339,922
ball,229,0.6438817977905273,138,706,188,783
human body,229,0.9907851219177246,213,561,280,643
human body,229,0.35350197553634644,138,706,188,784
cube,230,0.9953708648681641,281,1046,379,1116
ball,230,0.9901566505432129,495,699,547,768
ball,231,0.8689858317375183,316,924,363,965
ball,231,0.2680574357509613,304,930,366,982
ball,231,0.1960185468196869,218,1060,277,1137
tyre,231,0.9002091288566589,218,1061,277,1136
tyre,231,0.14711186289787292,286,938,352,989
circle cage,231,0.9778194427490234,313,737,355,784
ball,232,0.9891602396965027,491,670,554,760
cube,233,0.9960466623306274,417,765,517,832
ball,233,0.8882365226745605,559,309,624,414
cube,234,0.06993435323238373,325,750,377,789
cylinder,234,0.9032055139541626,326,750,376,789
cube,235,0.9945286512374878,195,785,239,826
cylinder,236,0.8358912467956543,444,784,488,848
cylinder,236,0.13677430152893066,448,782,484,821
ball,237,0.9885916709899902,239,1306,272,1376
tyre,237,0.892190158367157,341,1502,387,1576
square cage,237,0.9405633211135864,173,1438,242,1511
cube,238,0.7025061845779419,443,639,481,675
cylinder,238,0.19517174363136292,444,640,480,675
circle cage,238,0.9330130815505981,250,757,338,807
cube,239,0.0822315514087677,187,501,220,571
ball,239,0.0634097084403038,187,501,220,571
cylinder,239,0.3735365867614746,187,502,219,571
human body,239,0.21132618188858032,187,501,220,572
square cage,239,0.0998290628194809,187,501,220,571
cube,24,0.26580488681793213,448,638,490,680
ball,24,0.9798215627670288,320,747,380,795
cylinder,24,0.7393546104431152,449,638,488,680
circle cage,24,0.9625711441040039,223,733,294,783
ball,240,0.9825834631919861,161,684,209,755
human body,240,0.994594931602478,285,542,374,644
ball,241,0.9821979999542236,167,1289,207,1360
human body,241,0.9879298210144043,279,1268,379,1363
circle cage,241,0.9380790591239929,53,1477,113,1551
ball,242,0.9867028594017029,502,1119,553,1170
tyre,242,0.9890769720077515,684,850,729,927
square cage,242,0.9864904880523682,377,1206,449,1260
cube,243,0.9941996335983276,212,787,254,828
ball,244,0.9661046862602234,724,1135,777,1187
tyre,244,0.9876105189323425,647,820,691,898
square cage,244,0.9841079711914062,373,1202,452,1246
ball,245,0.9904040098190308,215,1276,248,1351
tyre,245,0.9950854182243347,311,1476,362,1577
square cage,245,0.9581109285354614,150,1413,209,1497
cube,246,0.4874833822250366,438,627,471,663
cube,246,0.1280229389667511,262,755,353,809
ball,246,0.075260229408741,437,620,473,661
cylinder,246,0.28013697266578674,438,629,470,662
circle cage,246,0.8518482446670532,262,755,353,809
ball,247,0.9878472089767456,488,1118,539,1170
tyre,247,0.9845635294914246,675,863,721,933
square cage,247,0.9785903692245483,367,1207,436,1258
ball,248,0.9802753925323486,142,677,193,750
human body,248,0.9938397407531738,268,545,360,639
ball,25,0.9846856594085693,257,1281,291,1352
square cage,25,0.9887823462486267,215,1414,270,1483
cube,250,0.9171227812767029,475,1437,559,1527
cube,250,0.15928444266319275,474,1430,571,1591
cube,251,0.9956082105636597,263,817,306,854
cube,253,0.9802682399749756,257,1004,341,1066
ball,253,0.08171319216489792,412,628,468,701
ball,254,0.9699775576591492,401,925,448,970
metal bucket,254,0.9761192798614502,605,1247,692,1301
ball,255,0.9781081080436707,170,1280,204,1348
human body,255,0.9175279140472412,207,1110,238,1187
circle cage,255,0.9596269130706787,171,1491,237,1567
cube,256,0.9965744018554688,292,1058,388,1130
ball,256,0.9857748746871948,487,707,543,777
cube,257,0.9513310790061951,172,1106,262,1156
ball,257,0.9775875806808472,525,813,592,897
cylinder,258,0.8261070251464844,269,891,334,955
cylinder,258,0.49288421869277954,250,892,332,987
cube,259,0.9951280951499939,129,1202,170,1279
cylinder,26,0.9171773791313171,388,788,440,822
cube,260,0.9862975478172302,189,1068,276,1123
ball,260,0.9826089143753052,529,749,592,828
cube,261,0.9887404441833496,179,1112,283,1176
ball,261,0.9830048084259033,535,841,607,926
ball,262,0.6299836039543152,341,738,388,784
cylinder,262,0.7931603193283081,597,723,636,761
circle cage,262,0.9624872207641602,232,738,301,793
cylinder,263,0.9942644834518433,91,1194,114,1277
ball,264,0.37609219551086426,268,991,323,1070
ball,264,0.062621109187603,229,879,270,912
tyre,264,0.7281675338745117,268,991,323,1070
circle cage,264,0.9810327291488647,231,719,271,764
circle cage,264,0.19191595911979675,232,868,272,908
ball,265,0.9827413558959961,441,927,492,981
square cage,265,0.9503768682479858,335,1035,417,1088
ball,266,0.9859148859977722,163,1272,202,1338
human body,266,0.9045910835266113,197,1084,231,1215
circle cage,266,0.952021062374115,222,1513,290,1587
cube,267,0.9931225776672363,188,783,233,825
ball,269,0.9852641820907593,189,1358,227,1425
human body,269,0.9892892241477966,355,1245,446,1325
cube,27,0.9945949912071228,225,935,280,971
ball,270,0.9851011633872986,257,1430,292,1505
tyre,270,0.9797220230102539,299,1547,368,1628
metal bucket,270,0.9787866473197937,332,1621,418,1696
cube,271,0.9918221235275269,236,806,273,850
cylinder,272,0.9528411626815796,232,834,290,896
ball,273,0.9522161483764648,282,1323,319,1400
tyre,273,0.47731003165245056,337,990,375,1080
square cage,273,0.9751304388046265,187,1459,235,1547
ball,274,0.9879945516586304,477,1029,546,1118
cube,275,0.9967960119247437,399,1092,506,1166
ball,275,0.9909209609031677,587,708,650,789
cube,276,0.9952224493026733,260,815,302,854
ball,277,0.9888935089111328,375,1077,422,1129
human body,277,0.9839164018630981,418,906,460,1017
circle cage,277,0.9882737994194031,460,1275,569,1336
ball,278,0.08025357127189636,280,705,371,763
circle cage,278,0.9166108965873718,279,705,371,763
ball,279,0.9851138591766357,182,1290,219,1360
human body,279,0.8749290704727173,226,1108,264,1215
tyre,279,0.09373482316732407,227,1107,265,1214
square cage,279,0.13068312406539917,225,1135,259,1214
circle cage,279,0.9227389693260193,202,1521,267,1595
cube,28,0.991568922996521,179,790,221,830
cylinder,280,0.8972172737121582,395,835,460,885
circle cage,280,0.9817171096801758,289,705,383,762
cube,281,0.9954407215118408,427,1101,524,1168
ball,281,0.3597334027290344,446,719,498,792
cylinder,282,0.9307336807250977,380,759,428,804
circle cage,283,0.9784643054008484,265,697,353,754
ball,284,0.9801617860794067,169,1303,208,1378
human body,284,0.9939237833023071,280,1163,362,1254
cube,285,0.996004045009613,210,846,253,887
cube,286,0.9927958250045776,160,846,205,889
ball,288,0.9859749674797058,200,1301,233,1373
square cage,288,0.9340600967407227,133,1439,193,1531
metal bucket,288,0.05201434716582298,133,1439,193,1532
cube,289,0.9953703880310059,263,827,300,867
cylinder,29,0.9068636894226074,264,867,325,933
cube,290,0.0546867810189724,186,530,230,627
human body,290,0.8778245449066162,186,530,230,627
ball,291,0.9798726439476013,172,1312,210,1383
human body,291,0.984527587890625,279,1255,363,1350
circle cage,291,0.9420391917228699,57,1464,119,1539
cube,292,0.9957964420318604,217,843,261,885
ball,293,0.06999899446964264,336,898,380,982
human body,294,0.9743911623954773,426,515,530,580
ball,295,0.9832533597946167,341,748,400,794
cylinder,295,0.6039661765098572,713,750,761,823
circle cage,295,0.9734375476837158,235,741,310,795
cube,296,0.9963204264640808,226,844,270,885
cube,297,0.9961007833480835,476,1259,570,1330
ball,297,0.9912044405937195,590,887,651,968
cube,298,0.9919383525848389,222,840,263,877
ball,299,0.990370512008667,213,1293,249,1365
square cage,299,0.9690298438072205,142,1422,204,1517
cube,3,0.9941474795341492,224,841,267,878
human body,30,0.9801329374313354,503,518,578,589
cube,300,0.9957232475280762,257,851,300,889
ball,301,0.9863454103469849,183,1297,218,1366
human body,301,0.9920276403427124,289,1263,387,1355
circle cage,301,0.953317403793335,61,1486,122,1561
cube,302,0.9943984746932983,236,843,278,882
cube,303,0.9976248741149902,208,1118,266,1191
ball,303,0.9693673849105835,298,685,335,770
human body,304,0.5283738374710083,541,333,607,395
human body,304,0.22658120095729828,540,292,624,394
cube,306,0.9964364767074585,243,794,288,835
human body,307,0.9343025088310242,518,311,599,432
human body,307,0.05445905774831772,515,347,576,432
ball,308,0.9353489279747009,269,875,311,917
tyre,308,0.9696847200393677,322,975,393,1035
circle cage,308,0.8318232297897339,221,747,261,794
circle cage,308,0.05884918197989464,269,873,312,917
human body,309,0.9137700796127319,186,537,253,629
human body,309,0.07765823602676392,212,539,250,618
cube,31,0.05079140514135361,235,741,312,793
ball,31,0.9821073412895203,340,746,400,794
cylinder,31,0.837745189666748,685,743,727,813
cylinder,31,0.28318437933921814,683,742,722,780
circle cage,31,0.9098121523857117,235,741,312,793
ball,310,0.9942439794540405,341,902,425,981
tyre,310,0.9962533712387085,428,617,505,722
ball,311,0.32581111788749695,325,1337,367,1416
tyre,311,0.764237105846405,325,1337,367,1417
square cage,311,0.9544584155082703,179,1437,234,1521
cube,312,0.9945892095565796,265,789,309,830
cube,312,0.06271832436323166,102,762,138,789
ball,313,0.9755126237869263,168,1284,203,1354
circle cage,313,0.963699221611023,179,1502,244,1574
ball,314,0.9177920818328857,316,975,371,1027
ball,314,0.0858001857995987,330,973,373,1010
tyre,314,0.06734544783830643,280,976,370,1033
circle cage,314,0.9782037138938904,273,740,314,787
cylinder,315,0.9539697170257568,743,786,807,825
cube,316,0.992872416973114,577,1122,667,1197
ball,317,0.9952894449234009,382,912,471,997
tyre,317,0.9943808913230896,464,619,544,742
cube,318,0.12277284264564514,42,763,108,808
cylinder,318,0.9083374738693237,674,761,734,801
cylinder,319,0.6479063034057617,507,798,547,862
ball,32,0.9900996685028076,184,1284,221,1349
human body,32,0.9568806886672974,207,1083,239,1200
tyre,32,0.05206328630447388,261,1519,327,1593
circle cage,32,0.9074643850326538,261,1519,327,1593
ball,320,0.9617066383361816,261,1350,299,1437
tyre,320,0.9036082029342651,273,1540,318,1636
metal bucket,320,0.9832579493522644,329,1558,395,1627
cube,321,0.9873812198638916,195,845,237,883
ball,322,0.9915848970413208,272,945,312,1006
tyre,322,0.9827818274497986,332,1054,410,1142
